Track Name,Artist Name(s),Album Name,Album Artist Name(s),Album Release Date,Disc Number,Track Number,Track Duration (ms),Track Preview URL,Popularity
"Straight, No Chaser",Thelonious Monk,"Straight, No Chaser",Thelonious Monk,1967,1,3,688133,https://p.scdn.co/mp3-preview/ccf83ab07530858fa10b446fd092d57a12a81b29?cid=9950ac751e34487dbbe027c4fd7f8e99,53
Dindi,Astrud Gilberto,The Astrud Gilberto Album,Astrud Gilberto,1965-01-01,1,7,161173,,52
The Shadow of Your Smile,"Dexter Gordon, Slide Hampton",A Day in Copenhagen,"Dexter Gordon, Slide Hampton",1969-04-21,1,5,297875,https://p.scdn.co/mp3-preview/3a63d330e189f67a3b04af019dcc5be6377617d8?cid=9950ac751e34487dbbe027c4fd7f8e99,50
My Romance - Rudy Van Gelder Remaster,Gene Ammons,Boss Tenor,Gene Ammons,2006-01-01,1,3,252946,,56
O Pato,"Stan Getz, Charlie Byrd",Jazz Samba,"Stan Getz, Charlie Byrd",1962-01-01,1,3,149080,,54
Gary's Theme - Remastered,Bill Evans,You Must Believe In Spring (Remastered Version),Bill Evans,1981-02-02,1,3,257693,,62
Better Git It in Your Soul,Charles Mingus,Mingus Ah Um,Charles Mingus,1959,1,1,440840,https://p.scdn.co/mp3-preview/f64b7c9a5862cf4c82fdc4632d0cae600db1dd4e?cid=9950ac751e34487dbbe027c4fd7f8e99,50
Blue Bossa - Remastered,Joe Henderson,Page One,Joe Henderson,1963-10-01,1,1,482440,,52
"Köln, January 24, 1975, Pt. II C - Live",Keith Jarrett,The Köln Concert,Keith Jarrett,1975-11-30,1,4,416840,,53
Stolen Moments,Oliver Nelson,The Blues And The Abstract Truth,Oliver Nelson,1961-08-01,1,1,525613,,55
Blue Monk - Rudy Van Gelder Remaster,Thelonious Monk,Thelonious Monk,Thelonious Monk,1954,1,1,456360,,48
Chitlins Con Carne,Kenny Burrell,Midnight Blue (The Rudy Van Gelder Edition),Kenny Burrell,1963,1,1,330440,,54
You Don't Know What Love Is,Dinah Washington,For Those In Love (Expanded Edition),Dinah Washington,1955-01-01,1,4,245000,,46
From Gagarin's Point of View,Esbjörn Svensson Trio,From Gagarin's Point of View,Esbjörn Svensson Trio,1999-04-26,1,5,243333,https://p.scdn.co/mp3-preview/119355d96650892118b8190eaf2e7d3f27441508?cid=9950ac751e34487dbbe027c4fd7f8e99,53
